,dataset,method,replicate,cd,acc,times,memgb,n,k,ils,seqlen,gtee,ad,gtype
113,mammalian-sim,QR*,13,14,0,10.2,0.085792,37,200,2X,true,0,0.17617647058823535,true
114,mammalian-sim,QR*,14,4,0,10.03,0.084992,37,200,2X,true,0,0.18000000000000005,true
115,mammalian-sim,QR*,15,4,0,10.1,0.090856,37,200,2X,true,0,0.18117647058823533,true
116,mammalian-sim,QR*,16,2,0,25.27,0.086068,37,200,2X,true,0,0.18455882352941178,true
117,mammalian-sim,QR*,17,12,0,28.29,0.087988,37,200,2X,true,0,0.17897058823529421,true
118,mammalian-sim,QR*,18,8,0,27.61,0.088048,37,200,2X,true,0,0.1779411764705883,true
119,mammalian-sim,QR*,19,12,0,28.9,0.08808,37,200,2X,true,0,0.18911764705882358,true
120,mammalian-sim,QR,0,24,0,10.05,0.082884,37,50,2X,true,0,0.18235294117647066,true
121,mammalian-sim,QR,1,20,0,10.55,0.083816,37,50,2X,true,0,0.18352941176470608,true
122,mammalian-sim,QR,2,2,0,9.83,0.084548,37,50,2X,true,0,0.18205882352941175,true
123,mammalian-sim,QR,3,24,0,9.76,0.083728,37,50,2X,true,0,0.18205882352941175,true
124,mammalian-sim,QR,4,12,0,10.14,0.083248,37,50,2X,true,0,0.18617647058823533,true
125,mammalian-sim,QR,5,24,0,10.3,0.083036,37,50,2X,true,0,0.17897058823529413,true
126,mammalian-sim,QR,6,10,0,9.99,0.086144,37,50,2X,true,0,0.18838235294117656,true
127,mammalian-sim,QR,7,16,0,10.95,0.086232,37,50,2X,true,0,0.1832352941176471,true
128,mammalian-sim,QR,8,18,0,10.01,0.087228,37,50,2X,true,0,0.18132352941176483,true
129,mammalian-sim,QR,9,16,0,10.55,0.08434,37,50,2X,true,0,0.18779411764705878,true
130,mammalian-sim,QR,10,20,0,10.32,0.086152,37,50,2X,true,0,0.17941176470588244,true
131,mammalian-sim,QR,11,18,0,10.32,0.08314,37,50,2X,true,0,0.18382352941176477,true
132,mammalian-sim,QR,12,20,0,10.73,0.086048,37,50,2X,true,0,0.18044117647058827,true
133,mammalian-sim,QR,13,20,0,28.1,0.082476,37,50,2X,true,0,0.17617647058823535,true
134,mammalian-sim,QR,14,6,0,28.55,0.082796,37,50,2X,true,0,0.18000000000000005,true
135,mammalian-sim,QR,15,18,0,28.27,0.083812,37,50,2X,true,0,0.18117647058823533,true
136,mammalian-sim,QR,16,18,0,27.1,0.082888,37,50,2X,true,0,0.18455882352941178,true
137,mammalian-sim,QR,17,16,0,29.29,0.083312,37,50,2X,true,0,0.17897058823529421,true
138,mammalian-sim,QR,18,24,0,29.33,0.084692,37,50,2X,true,0,0.1779411764705883,true
139,mammalian-sim,QR,19,12,0,29.37,0.086332,37,50,2X,true,0,0.18911764705882358,true
140,mammalian-sim,QR*,0,16,0,27.36,0.086236,37,50,2X,true,0,0.18235294117647066,true
141,mammalian-sim,QR*,1,4,0,26.8,0.086068,37,50,2X,true,0,0.18352941176470608,true
142,mammalian-sim,QR*,2,10,0,9.75,0.087996,37,50,2X,true,0,0.18205882352941175,true
143,mammalian-sim,QR*,3,14,0,10.14,0.084292,37,50,2X,true,0,0.18205882352941175,true
144,mammalian-sim,QR*,4,6,0,9.14,0.082816,37,50,2X,true,0,0.18617647058823533,true
145,mammalian-sim,QR*,5,16,0,10.53,0.090052,37,50,2X,true,0,0.17897058823529413,true
146,mammalian-sim,QR*,6,10,0,10.01,0.084256,37,50,2X,true,0,0.18838235294117656,true
147,mammalian-sim,QR*,7,10,0,10.06,0.082752,37,50,2X,true,0,0.1832352941176471,true
148,mammalian-sim,QR*,8,12,0,9.75,0.084208,37,50,2X,true,0,0.18132352941176483,true
149,mammalian-sim,QR*,9,12,0,10.37,0.082752,37,50,2X,true,0,0.18779411764705878,true
150,mammalian-sim,QR*,10,16,0,10.03,0.084372,37,50,2X,true,0,0.17941176470588244,true
151,mammalian-sim,QR*,11,18,0,10.4,0.082584,37,50,2X,true,0,0.18382352941176477,true
152,mammalian-sim,QR*,12,16,0,10.64,0.086276,37,50,2X,true,0,0.18044117647058827,true
153,mammalian-sim,QR*,13,14,0,10.63,0.084536,37,50,2X,true,0,0.17617647058823535,true
154,mammalian-sim,QR*,14,4,0,26.75,0.083956,37,50,2X,true,0,0.18000000000000005,true
155,mammalian-sim,QR*,15,6,0,26.16,0.086852,37,50,2X,true,0,0.18117647058823533,true
156,mammalian-sim,QR*,16,16,0,25.22,0.082504,37,50,2X,true,0,0.18455882352941178,true
157,mammalian-sim,QR*,17,16,0,28.43,0.085764,37,50,2X,true,0,0.17897058823529421,true
158,mammalian-sim,QR*,18,14,0,28.25,0.082508,37,50,2X,true,0,0.1779411764705883,true
159,mammalian-sim,QR*,19,4,0,26.09,0.082588,37,50,2X,true,0,0.18911764705882358,true
160,mammalian-sim,QR,0,2,0,9.15,0.08534,37,200,0.5X,true,0,0.5392647058823532,true
161,mammalian-sim,QR,1,0,1,9.3,0.084808,37,200,0.5X,true,0,0.5366176470588236,true
162,mammalian-sim,QR,2,2,0,9.44,0.084116,37,200,0.5X,true,0,0.535588235294118,true
163,mammalian-sim,QR,3,0,1,9.41,0.085228,37,200,0.5X,true,0,0.5325000000000002,true
164,mammalian-sim,QR,4,0,1,9.89,0.086076,37,200,0.5X,true,0,0.5423529411764709,true
165,mammalian-sim,QR,5,0,1,9.51,0.084976,37,200,0.5X,true,0,0.5448529411764708,true
166,mammalian-sim,QR,6,0,1,9.74,0.083932,37,200,0.5X,true,0,0.5405882352941179,true
167,mammalian-sim,QR,7,0,1,11.59,0.083664,37,200,0.5X,true,0,0.5502941176470595,true
168,mammalian-sim,QR,8,0,1,9.79,0.084564,37,200,0.5X,true,0,0.5345588235294119,true
