,dataset,method,replicate,cd,acc,times,memgb,n,k,ils,seqlen,gtee,ad,gtype
87,mammalian-sim,QR*,7,2,0,9.82,0.08248,37,50,1X,true,0,0.33220588235294085,true
88,mammalian-sim,QR*,8,8,0,10.35,0.089848,37,50,1X,true,0,0.33147058823529396,true
89,mammalian-sim,QR*,9,6,0,9.35,0.085912,37,50,1X,true,0,0.3366176470588234,true
90,mammalian-sim,QR*,10,4,0,8.99,0.084004,37,50,1X,true,0,0.3202941176470587,true
91,mammalian-sim,QR*,11,8,0,9.82,0.085312,37,50,1X,true,0,0.3358823529411762,true
92,mammalian-sim,QR*,12,18,0,10.58,0.084428,37,50,1X,true,0,0.3339705882352942,true
93,mammalian-sim,QR*,13,6,0,10.4,0.083252,37,50,1X,true,0,0.33470588235294096,true
94,mammalian-sim,QR*,14,8,0,9.84,0.0878,37,50,1X,true,0,0.3283823529411765,true
95,mammalian-sim,QR*,15,10,0,27.25,0.082712,37,50,1X,true,0,0.32352941176470573,true
96,mammalian-sim,QR*,16,14,0,27.42,0.082972,37,50,1X,true,0,0.327205882352941,true
97,mammalian-sim,QR*,17,12,0,28.49,0.086784,37,50,1X,true,0,0.3274999999999998,true
98,mammalian-sim,QR*,18,4,0,29.6,0.082748,37,50,1X,true,0,0.3285294117647055,true
99,mammalian-sim,QR*,19,8,0,26.01,0.082448,37,50,1X,true,0,0.329705882352941,true
100,mammalian-sim,optimal,0,4,0,1.14,0.035468,37,50,1X,true,0,0.33352941176470574,true
101,mammalian-sim,optimal,1,2,0,1.19,0.036096,37,50,1X,true,0,0.32441176470588245,true
102,mammalian-sim,optimal,2,2,0,1.1,0.036124,37,50,1X,true,0,0.3360294117647058,true
103,mammalian-sim,optimal,3,0,1,1.12,0.036348,37,50,1X,true,0,0.335,true
104,mammalian-sim,optimal,4,8,0,1.13,0.036656,37,50,1X,true,0,0.32941176470588224,true
105,mammalian-sim,optimal,5,2,0,1.13,0.03516,37,50,1X,true,0,0.3223529411764705,true
106,mammalian-sim,optimal,6,8,0,1.1,0.036424,37,50,1X,true,0,0.3257352941176469,true
107,mammalian-sim,optimal,7,0,1,1.05,0.036472,37,50,1X,true,0,0.33220588235294085,true
108,mammalian-sim,optimal,8,2,0,1.04,0.03616,37,50,1X,true,0,0.33147058823529396,true
109,mammalian-sim,optimal,9,4,0,1.01,0.037176,37,50,1X,true,0,0.3366176470588234,true
110,mammalian-sim,optimal,10,0,1,1.0,0.0367,37,50,1X,true,0,0.3202941176470587,true
111,mammalian-sim,optimal,11,6,0,2.04,0.035656,37,50,1X,true,0,0.3358823529411762,true
112,mammalian-sim,optimal,12,8,0,4.25,0.03894,37,50,1X,true,0,0.3339705882352942,true
113,mammalian-sim,optimal,13,4,0,2.59,0.038692,37,50,1X,true,0,0.33470588235294096,true
114,mammalian-sim,optimal,14,6,0,4.25,0.036668,37,50,1X,true,0,0.3283823529411765,true
115,mammalian-sim,optimal,15,2,0,3.84,0.036132,37,50,1X,true,0,0.32352941176470573,true
116,mammalian-sim,optimal,16,6,0,3.89,0.040052,37,50,1X,true,0,0.327205882352941,true
117,mammalian-sim,optimal,17,6,0,2.59,0.035996,37,50,1X,true,0,0.3274999999999998,true
118,mammalian-sim,optimal,18,2,0,2.58,0.035732,37,50,1X,true,0,0.3285294117647055,true
119,mammalian-sim,optimal,19,6,0,2.59,0.036284,37,50,1X,true,0,0.329705882352941,true
120,mammalian-sim,QR,0,18,0,11.26,0.087968,37,200,2X,true,0,0.18235294117647066,true
121,mammalian-sim,QR,1,18,0,11.1,0.084676,37,200,2X,true,0,0.18352941176470608,true
122,mammalian-sim,QR,2,2,0,10.08,0.088984,37,200,2X,true,0,0.18205882352941175,true
123,mammalian-sim,QR,3,2,0,10.58,0.085728,37,200,2X,true,0,0.18205882352941175,true
124,mammalian-sim,QR,4,16,0,10.59,0.085444,37,200,2X,true,0,0.18617647058823533,true
125,mammalian-sim,QR,5,8,0,10.72,0.085424,37,200,2X,true,0,0.17897058823529413,true
126,mammalian-sim,QR,6,18,0,10.94,0.08528,37,200,2X,true,0,0.18838235294117656,true
127,mammalian-sim,QR,7,22,0,10.61,0.084908,37,200,2X,true,0,0.1832352941176471,true
128,mammalian-sim,QR,8,20,0,10.68,0.085712,37,200,2X,true,0,0.18132352941176483,true
129,mammalian-sim,QR,9,2,0,11.17,0.085608,37,200,2X,true,0,0.18779411764705878,true
130,mammalian-sim,QR,10,14,0,11.22,0.088132,37,200,2X,true,0,0.17941176470588244,true
131,mammalian-sim,QR,11,12,0,11.02,0.084736,37,200,2X,true,0,0.18382352941176477,true
132,mammalian-sim,QR,12,22,0,10.44,0.084032,37,200,2X,true,0,0.18044117647058827,true
133,mammalian-sim,QR,13,12,0,10.99,0.089712,37,200,2X,true,0,0.17617647058823535,true
134,mammalian-sim,QR,14,18,0,11.42,0.085928,37,200,2X,true,0,0.18000000000000005,true
135,mammalian-sim,QR,15,16,0,10.84,0.084976,37,200,2X,true,0,0.18117647058823533,true
136,mammalian-sim,QR,16,22,0,29.49,0.088076,37,200,2X,true,0,0.18455882352941178,true
137,mammalian-sim,QR,17,20,0,30.26,0.085912,37,200,2X,true,0,0.17897058823529421,true
138,mammalian-sim,QR,18,20,0,29.91,0.085256,37,200,2X,true,0,0.1779411764705883,true
139,mammalian-sim,QR,19,14,0,29.21,0.0851,37,200,2X,true,0,0.18911764705882358,true
140,mammalian-sim,QR*,0,12,0,10.78,0.084888,37,200,2X,true,0,0.18235294117647066,true
141,mammalian-sim,QR*,1,6,0,10.5,0.086868,37,200,2X,true,0,0.18352941176470608,true
142,mammalian-sim,QR*,2,12,0,10.2,0.084328,37,200,2X,true,0,0.18205882352941175,true
143,mammalian-sim,QR*,3,16,0,10.8,0.086236,37,200,2X,true,0,0.18205882352941175,true
