,dataset,method,qrcoef,abratio,replicate,cd,acc,times,memgb,n,k,length,gtee,ad,gtype
1003,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,3,0,1,80.81,0.221248,101,1000,400,,,est
1004,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,4,0,1,73.58,0.219588,101,1000,400,,,est
1005,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,5,2,0,82.0,0.219748,101,1000,400,,,est
1006,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,6,0,1,76.22,0.22126,101,1000,400,,,est
1007,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,7,0,1,84.24,0.217704,101,1000,400,,,est
1008,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,8,6,0,81.64,0.219584,101,1000,400,,,est
1009,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,9,2,0,78.97,0.219812,101,1000,400,,,est
1010,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,10,10,0,83.33,0.21966,101,1000,400,,,est
1011,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,11,0,1,75.97,0.219412,101,1000,400,,,est
1012,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,12,4,0,74.51,0.220244,101,1000,400,,,est
1013,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,13,0,1,77.49,0.21914,101,1000,400,,,est
1014,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,14,4,0,75.11,0.221492,101,1000,400,,,est
1015,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,15,4,0,63.44,0.218864,101,1000,400,,,est
1016,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,16,6,0,58.74,0.221956,101,1000,400,,,est
1017,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,17,4,0,47.65,0.219752,101,1000,400,,,est
1018,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,18,4,0,55.6,0.218456,101,1000,400,,,est
1019,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,19,0,1,57.76,0.2214,101,1000,400,,,est
1020,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,20,4,0,64.62,0.219052,101,1000,400,,,est
1021,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,21,4,0,58.23,0.221288,101,1000,400,,,est
1022,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,22,2,0,55.88,0.218548,101,1000,400,,,est
1023,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,23,0,1,49.74,0.220224,101,1000,400,,,est
1024,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,24,2,0,52.58,0.218704,101,1000,400,,,est
1025,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,25,0,1,58.61,0.220188,101,1000,400,,,est
1026,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,26,2,0,54.92,0.221488,101,1000,400,,,est
1027,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,27,6,0,50.78,0.22162,101,1000,400,,,est
1028,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,28,6,0,54.95,0.220524,101,1000,400,,,est
1029,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,29,6,0,57.18,0.220492,101,1000,400,,,est
1030,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,30,12,0,60.72,0.219636,101,1000,400,,,est
1031,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,31,4,0,63.09,0.221056,101,1000,400,,,est
1032,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,32,6,0,53.27,0.218488,101,1000,400,,,est
1033,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,33,6,0,59.52,0.219268,101,1000,400,,,est
1034,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,34,4,0,86.4,0.221076,101,1000,400,,,est
1035,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,35,0,1,64.38,0.218208,101,1000,400,,,est
1036,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,36,0,1,60.59,0.218556,101,1000,400,,,est
1037,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,37,10,0,65.83,0.218344,101,1000,400,,,est
1038,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,38,0,1,46.75,0.221464,101,1000,400,,,est
1039,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,39,4,0,56.41,0.218948,101,1000,400,,,est
1040,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,40,0,1,60.21,0.223412,101,1000,400,,,est
1041,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,41,0,1,54.13,0.218824,101,1000,400,,,est
1042,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,42,16,0,62.04,0.219312,101,1000,400,,,est
1043,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,43,0,1,77.69,0.221236,101,1000,400,,,est
1044,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,44,0,1,86.88,0.218948,101,1000,400,,,est
1045,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,45,2,0,75.15,0.218936,101,1000,400,,,est
1046,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,46,4,0,67.85,0.222708,101,1000,400,,,est
1047,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,47,4,0,82.59,0.219612,101,1000,400,,,est
1048,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,48,6,0,86.46000000000001,0.220304,101,1000,400,,,est
1049,ASTRAL-III,QR (LE),1.000000e-02,0.000000e+00,49,2,0,76.94,0.219524,101,1000,400,,,est
1050,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,0,4,0,98.69,0.219616,101,1000,400,,,est
1051,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,1,4,0,79.72,0.222344,101,1000,400,,,est
1052,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,2,4,0,82.44,0.218972,101,1000,400,,,est
1053,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,3,0,1,85.57,0.219324,101,1000,400,,,est
1054,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,4,0,1,71.11,0.219724,101,1000,400,,,est
1055,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,5,2,0,81.98,0.218424,101,1000,400,,,est
1056,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,6,0,1,76.23,0.221428,101,1000,400,,,est
1057,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,7,0,1,87.52,0.218044,101,1000,400,,,est
1058,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,8,10,0,82.63,0.218372,101,1000,400,,,est
1059,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,9,2,0,78.44,0.219148,101,1000,400,,,est
1060,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,10,10,0,83.28999999999999,0.218324,101,1000,400,,,est
1061,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,11,0,1,77.98,0.220672,101,1000,400,,,est
1062,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,12,4,0,76.74,0.220088,101,1000,400,,,est
1063,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,13,0,1,78.12,0.219368,101,1000,400,,,est
1064,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,14,4,0,72.24,0.224528,101,1000,400,,,est
1065,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,15,4,0,60.73,0.220412,101,1000,400,,,est
1066,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,16,6,0,55.68,0.221536,101,1000,400,,,est
1067,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,17,4,0,68.19,0.230452,101,1000,400,,,est
1068,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,18,4,0,57.7,0.219196,101,1000,400,,,est
1069,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,19,0,1,50.44,0.219164,101,1000,400,,,est
1070,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,20,4,0,64.98,0.223156,101,1000,400,,,est
1071,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,21,6,0,51.54,0.218892,101,1000,400,,,est
1072,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,22,2,0,48.72,0.218112,101,1000,400,,,est
1073,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,23,0,1,55.81,0.225228,101,1000,400,,,est
1074,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,24,2,0,52.02,0.220584,101,1000,400,,,est
1075,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,25,0,1,51.62,0.219564,101,1000,400,,,est
1076,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,26,2,0,56.7,0.219228,101,1000,400,,,est
1077,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,27,0,1,56.67,0.218576,101,1000,400,,,est
1078,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,28,4,0,53.79,0.22162,101,1000,400,,,est
1079,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,29,6,0,59.38,0.219828,101,1000,400,,,est
1080,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,30,0,1,59.56,0.218156,101,1000,400,,,est
1081,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,31,6,0,54.87,0.219436,101,1000,400,,,est
1082,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,32,6,0,55.13,0.219508,101,1000,400,,,est
1083,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,33,6,0,59.57,0.219444,101,1000,400,,,est
1084,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,34,4,0,86.8,0.218892,101,1000,400,,,est
1085,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,35,0,1,58.16,0.220124,101,1000,400,,,est
1086,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,36,0,1,54.12,0.221368,101,1000,400,,,est
1087,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,37,14,0,64.77,0.2189,101,1000,400,,,est
1088,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,38,0,1,51.78,0.221752,101,1000,400,,,est
1089,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,39,0,1,57.59,0.220956,101,1000,400,,,est
1090,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,40,0,1,58.4,0.21952,101,1000,400,,,est
1091,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,41,0,1,47.55,0.220716,101,1000,400,,,est
1092,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,42,8,0,53.02,0.218244,101,1000,400,,,est
1093,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,43,0,1,77.69,0.22036,101,1000,400,,,est
1094,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,44,0,1,87.03,0.218864,101,1000,400,,,est
1095,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,45,2,0,76.64,0.220504,101,1000,400,,,est
1096,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,46,4,0,68.34,0.222952,101,1000,400,,,est
1097,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,47,4,0,84.28,0.218316,101,1000,400,,,est
1098,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,48,8,0,84.16,0.220976,101,1000,400,,,est
1099,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-05,49,2,0,77.21000000000001,0.219608,101,1000,400,,,est
1100,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,0,8,0,98.7,0.221516,101,1000,400,,,est
1101,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,1,2,0,77.52,0.219692,101,1000,400,,,est
1102,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,2,4,0,78.45,0.218272,101,1000,400,,,est
1103,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,3,0,1,84.0,0.218488,101,1000,400,,,est
1104,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,4,0,1,73.37,0.218508,101,1000,400,,,est
1105,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,5,2,0,82.16,0.22192,101,1000,400,,,est
1106,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,6,0,1,76.07,0.218588,101,1000,400,,,est
1107,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,7,0,1,86.93,0.218972,101,1000,400,,,est
1108,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,8,8,0,82.84,0.218448,101,1000,400,,,est
1109,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,9,2,0,76.03999999999999,0.21948,101,1000,400,,,est
1110,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,10,2,0,82.86,0.221576,101,1000,400,,,est
1111,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,11,0,1,75.36,0.21982,101,1000,400,,,est
1112,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,12,4,0,75.63,0.21966,101,1000,400,,,est
1113,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,13,0,1,78.34,0.223304,101,1000,400,,,est
1114,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,14,4,0,71.88,0.220892,101,1000,400,,,est
1115,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,15,4,0,63.28,0.222248,101,1000,400,,,est
1116,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,16,6,0,58.62,0.218796,101,1000,400,,,est
1117,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,17,4,0,47.11,0.219492,101,1000,400,,,est
1118,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,18,6,0,57.54,0.219512,101,1000,400,,,est
1119,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,19,0,1,56.52,0.221004,101,1000,400,,,est
1120,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,20,4,0,65.72,0.219508,101,1000,400,,,est
1121,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,21,4,0,56.99,0.218724,101,1000,400,,,est
1122,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,22,2,0,56.25,0.220752,101,1000,400,,,est
1123,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,23,0,1,56.62,0.219724,101,1000,400,,,est
1124,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,24,2,0,52.31,0.218416,101,1000,400,,,est
1125,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,25,0,1,52.56,0.21962,101,1000,400,,,est
1126,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,26,2,0,56.35,0.219176,101,1000,400,,,est
1127,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,27,0,1,56.58,0.219656,101,1000,400,,,est
1128,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,28,4,0,47.55,0.21896,101,1000,400,,,est
1129,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,29,6,0,52.63,0.2189,101,1000,400,,,est
1130,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,30,0,1,61.48,0.22156,101,1000,400,,,est
1131,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,31,6,0,62.26,0.221728,101,1000,400,,,est
1132,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,32,4,0,55.26,0.219476,101,1000,400,,,est
1133,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,33,6,0,54.89,0.218556,101,1000,400,,,est
1134,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,34,4,0,58.5,0.221648,101,1000,400,,,est
1135,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,35,0,1,64.08,0.218848,101,1000,400,,,est
1136,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,36,0,1,60.39,0.219952,101,1000,400,,,est
1137,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,37,10,0,65.65,0.218128,101,1000,400,,,est
1138,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,38,0,1,53.1,0.218356,101,1000,400,,,est
1139,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,39,4,0,57.72,0.21876,101,1000,400,,,est
1140,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,40,0,1,60.09,0.218996,101,1000,400,,,est
1141,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,41,0,1,54.14,0.224032,101,1000,400,,,est
1142,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,42,6,0,60.81,0.219956,101,1000,400,,,est
1143,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,43,0,1,79.6,0.218784,101,1000,400,,,est
1144,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,44,0,1,88.55,0.22032,101,1000,400,,,est
1145,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,45,2,0,73.68,0.218616,101,1000,400,,,est
1146,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,46,4,0,69.81,0.22004,101,1000,400,,,est
1147,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,47,4,0,82.49,0.218184,101,1000,400,,,est
1148,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,48,6,0,85.16,0.219376,101,1000,400,,,est
1149,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-04,49,2,0,78.16,0.223276,101,1000,400,,,est
1150,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,0,4,0,97.21000000000001,0.219912,101,1000,400,,,est
1151,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,1,2,0,76.49,0.219732,101,1000,400,,,est
1152,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,2,6,0,80.84,0.219916,101,1000,400,,,est
1153,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,3,0,1,83.63,0.219368,101,1000,400,,,est
1154,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,4,0,1,72.11,0.220928,101,1000,400,,,est
1155,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,5,2,0,81.66,0.219096,101,1000,400,,,est
1156,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,6,0,1,76.12,0.218344,101,1000,400,,,est
1157,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,7,0,1,86.78999999999999,0.221016,101,1000,400,,,est
1158,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,8,6,0,80.3,0.221108,101,1000,400,,,est
1159,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,9,2,0,75.81,0.220024,101,1000,400,,,est
1160,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,10,10,0,82.53,0.21906,101,1000,400,,,est
1161,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,11,0,1,79.06,0.218608,101,1000,400,,,est
1162,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,12,4,0,75.08,0.218828,101,1000,400,,,est
1163,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,13,0,1,76.85,0.220136,101,1000,400,,,est
1164,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,14,4,0,72.8,0.21936,101,1000,400,,,est
1165,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,15,4,0,61.7,0.21856,101,1000,400,,,est
1166,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,16,6,0,58.12,0.220432,101,1000,400,,,est
1167,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,17,4,0,46.83,0.224888,101,1000,400,,,est
1168,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,18,4,0,57.04,0.219148,101,1000,400,,,est
1169,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,19,0,1,56.71,0.220652,101,1000,400,,,est
1170,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,20,6,0,63.44,0.220408,101,1000,400,,,est
1171,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,21,6,0,58.62,0.2201,101,1000,400,,,est
1172,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,22,2,0,54.44,0.21824,101,1000,400,,,est
1173,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,23,0,1,55.78,0.21976,101,1000,400,,,est
1174,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,24,2,0,52.87,0.21922,101,1000,400,,,est
1175,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,25,0,1,85.27,0.221276,101,1000,400,,,est
1176,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,26,2,0,58.51,0.224948,101,1000,400,,,est
1177,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,27,0,1,56.61,0.221496,101,1000,400,,,est
1178,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,28,4,0,54.9,0.220804,101,1000,400,,,est
1179,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,29,6,0,58.21,0.222952,101,1000,400,,,est
1180,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,30,12,0,60.66,0.22348,101,1000,400,,,est
1181,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,31,6,0,55.83,0.2224,101,1000,400,,,est
1182,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,32,4,0,53.86,0.219444,101,1000,400,,,est
1183,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,33,4,0,59.42,0.222872,101,1000,400,,,est
1184,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,34,4,0,84.82,0.22246,101,1000,400,,,est
1185,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,35,0,1,63.91,0.219188,101,1000,400,,,est
1186,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,36,0,1,59.82,0.219484,101,1000,400,,,est
1187,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,37,10,0,57.97,0.219452,101,1000,400,,,est
1188,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,38,0,1,53.12,0.218756,101,1000,400,,,est
1189,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,39,0,1,57.02,0.219864,101,1000,400,,,est
1190,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,40,0,1,60.73,0.221084,101,1000,400,,,est
1191,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,41,0,1,54.24,0.224936,101,1000,400,,,est
1192,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,42,16,0,55.17,0.218632,101,1000,400,,,est
1193,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,43,0,1,78.72,0.22126,101,1000,400,,,est
1194,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,44,0,1,88.09,0.21796,101,1000,400,,,est
1195,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,45,2,0,74.88,0.2209,101,1000,400,,,est
1196,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,46,4,0,68.83,0.22086,101,1000,400,,,est
1197,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,47,4,0,84.07,0.21974,101,1000,400,,,est
1198,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,48,8,0,87.81,0.220176,101,1000,400,,,est
1199,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,49,2,0,77.34,0.219264,101,1000,400,,,est
1200,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,0,4,0,99.68,0.218316,101,1000,400,,,est
1201,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,1,4,0,78.94,0.219952,101,1000,400,,,est
1202,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,2,4,0,80.33,0.219036,101,1000,400,,,est
1203,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,3,0,1,85.28,0.218588,101,1000,400,,,est
1204,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,4,0,1,72.53,0.221692,101,1000,400,,,est
1205,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,5,2,0,83.7,0.219348,101,1000,400,,,est
1206,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,6,0,1,77.25,0.220896,101,1000,400,,,est
1207,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,7,0,1,87.74,0.221252,101,1000,400,,,est
1208,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,8,2,0,82.01,0.222244,101,1000,400,,,est
1209,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,9,2,0,75.9,0.22006,101,1000,400,,,est
1210,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,10,2,0,84.91,0.220128,101,1000,400,,,est
1211,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,11,0,1,80.81,0.21838,101,1000,400,,,est
1212,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,12,4,0,76.76,0.220612,101,1000,400,,,est
1213,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,13,0,1,80.69,0.219652,101,1000,400,,,est
1214,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,14,4,0,74.72,0.220436,101,1000,400,,,est
1215,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,15,4,0,62.0,0.220732,101,1000,400,,,est
1216,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,16,6,0,53.02,0.220032,101,1000,400,,,est
1217,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,17,4,0,47.98,0.218616,101,1000,400,,,est
1218,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,18,6,0,55.52,0.22036,101,1000,400,,,est
1219,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,19,0,1,58.36,0.22158,101,1000,400,,,est
1220,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,20,4,0,64.6,0.21884,101,1000,400,,,est
1221,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,21,6,0,57.73,0.2197,101,1000,400,,,est
1222,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,22,2,0,48.85,0.21938,101,1000,400,,,est
1223,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,23,0,1,56.81,0.220068,101,1000,400,,,est
1224,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,24,2,0,51.31,0.222564,101,1000,400,,,est
1225,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,25,0,1,58.34,0.222464,101,1000,400,,,est
1226,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,26,2,0,57.42,0.221176,101,1000,400,,,est
1227,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,27,0,1,51.81,0.220236,101,1000,400,,,est
1228,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,28,6,0,53.68,0.21998,101,1000,400,,,est
1229,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,29,6,0,57.91,0.2186,101,1000,400,,,est
1230,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,30,12,0,60.66,0.21822,101,1000,400,,,est
1231,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,31,6,0,62.04,0.219468,101,1000,400,,,est
1232,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,32,4,0,49.4,0.21872,101,1000,400,,,est
1233,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,33,6,0,58.92,0.220176,101,1000,400,,,est
1234,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,34,4,0,59.15,0.220268,101,1000,400,,,est
